AirportKey,AirportCode,CityName,StateCode,StateName,Region,ReliabilityScore,FlightCount,MonthlyDelayRate
e5fe64d21ac45c72bd4c28050d852b648f1780c32c3026ffa9eb3c5dbc3df382,KOA,"Kona, HI",HI,Hawaii,West,90.62,56384,0.12088815789473684
2fb6cbf530afed4efc94945dd29a2c5fc55e36593e56d1ab91bbc8c8c76e000c,PPG,"Pago Pago, TT",TT,U.S. Pacific Trust Territories and Possessions,Other,79.83,228,0.15789473684210525
4b92e66c84393de5952a938d14802eb9da8361267a071f53702be5bb2be9ced7,HOU,"Houston, TX",TX,Texas,South,83.74,197323,0.24692730890787778
4de4042269a08a22affd7287aa135827ef77e2a542788aa3ba83bfeb670bf9db,ERI,"Erie, PA",PA,Pennsylvania,Northeast,91.71,5449,0.163727959697733
508181536adfc9b4fe7186dcd11ff370d40e20081a58514695cdf2c97ebc526d,MLU,"Monroe, LA",LA,Louisiana,South,91.72,8474,0.13765182186234817
15b1a3cf77d320570360563d6507fd690389a5b0ca15ec66e0fe63598a6f834f,MDT,"Harrisburg, PA",PA,Pennsylvania,Northeast,90.36,33260,0.1601855155190867
3149d68fadf390c7702fbd0a696c1971a74750b1ca32eee275ee68fc55cc9bc2,SAF,"Santa Fe, NM",NM,New Mexico,West,88.12,9084,0.20843672456575682
7e2edab52cf2e979d20aef4f5c5c05adf4e032bc2d1a861dddbfe9fd89752940,PNS,"Pensacola, FL",FL,Florida,South,88.53,47506,0.17041446208112876
ca8c6373fbefb853775c35e5c35ee8020b6912b07b5728333b0b4134ab9cc373,COD,"Cody, WY",WY,Wyoming,West,84.8,3575,0.27610208816705334
fb5c665d28440f700a4494e67fda34c137b32c2ca749338d297bc7b6b7a46e76,GTR,"Columbus, MS",MS,Mississippi,South,93.44,3735,0.10067114093959731
0e63f5e7911c01dadfdd85bc370988313c905eedf1d850ce830e77c69b0f883c,AZA,"Phoenix, AZ",AZ,Arizona,West,85.36,22633,0.18289473684210528
8e72403a856ec94da616beba1e30064176ede451e7cfab83ade501aa86e2f77f,CSG,"Columbus, GA",GA,Georgia,South,91.17,5626,0.15714285714285714
acb1c678a1d2cd0161bb57c88a4c148d8ec46dbb69a38fce0a991306b513d634,SHR,"Sheridan, WY",WY,Wyoming,West,91.72,2454,0.13924050632911392
2b4d8b6e40f5a9bd7639009742c486a4a5ac72b0dbcc84e293156ec200dda01d,BKG,"Branson, MO",MO,Missouri,Midwest,82.26,182,0.2857142857142857
81b06b919dfab6829fb3a5c9c4d6d9c8e626b378bd19a83638c4bc1244c3d64f,GNV,"Gainesville, FL",FL,Florida,South,90.34,14569,0.1569620253164557
240807b9155201300199b61d36f2dc113e36c2d9b9730591ca87dca0114ec25b,SAV,"Savannah, GA",GA,Georgia,South,87.48,67648,0.1926166467270552
34cf05b52cebcee8b37199b43d4c7daefc8cc94bc7f7fead1fbc15bd592ffb7d,OTH,"North Bend/Coos Bay, OR",OR,Oregon,West,87.42,1349,0.17721518987341772
43ddcc590857d9131fce9d5d73b13ffee816de233be5b7625a719e26d8c1ca48,GEG,"Spokane, WA",WA,Washington,West,91.26,77131,0.127700564194303
87ac1209247e4253f384894f8b392231b8be2aef6643f88daba9a55e5fbb11c5,PBG,"Plattsburgh, NY",NY,New York,Northeast,84.31,2956,0.203125
263d48d0a34d53fae0c313a3693fecf01bc30f5a2c80158b4dc35e31438592cb,PAE,"Everett, WA",WA,Washington,West,89.78,13197,0.14852492370295015
30dfd5a764b79bd3501caade6aee4ad63f232773ea3708b04c803a6841143a17,MFR,"Medford, OR",OR,Oregon,West,92.12,28532,0.1069455406471981
b16dc27d3a8597035ffbe5f4e816aeb038d2bc156eadb60adbf6f6a43919fe1b,CWA,"Mosinee, WI",WI,Wisconsin,Midwest,91.71,8337,0.1684981684981685
bc1ccfebaf4130bc34322a99fb2e80b0fb593d55cb1c181f8e84958d6a52d73b,ICT,"Wichita, KS",KS,Kansas,Midwest,89.47,38419,0.15905654671908073
c279541697c65cbd5fb667f5788cbc1e8e49a7cb440cb5fa76275a76502a2bc9,COU,"Columbia, MO",MO,Missouri,Midwest,86.99,7139,0.20985691573926868
4fc05cba56045767bdf8f360734420e5b02e0f21fd06b2823de9ed57a85318b3,BUR,"Burbank, CA",CA,California,West,87.79,98319,0.16971593644679828
91b9f37aef525a1a0eb8090ba4e3620d830be6dd389346f3558b58d32d730452,TUL,"Tulsa, OK",OK,Oklahoma,South,90.15,60557,0.14745112369815458
bc439a64700c504f8b812716a5770a7b0502fcf2580ed10dfdf641fef2c65c75,VLD,"Valdosta, GA",GA,Georgia,South,92.41,3848,0.11400651465798045
08dd9890141cdccd3999d425a3492bfb742823adb8c56586370cd28ddf72f65b,SEA,"Seattle, WA",WA,Washington,West,89.65,656576,0.16942327745247454
2402e052a7c65f3089fe20dab7f6bd7422df06331c2bfb14d61cff3b401e01e0,MOB,"Mobile, AL",AL,Alabama,South,90.26,19069,0.15389408099688473
783a184a4940da99fdda9da528d6d7dfaa3ad100593e5b49bfb59dec1342dcbe,MLI,"Moline, IL",IL,Illinois,Midwest,90.75,17030,0.1518288474810214
8217143646e511ed7f8ab2f83dc8a69d61b119960d92d2f3f61c9d621b286ca3,SAN,"San Diego, CA",CA,California,West,88.78,298686,0.18925764517450738
07e500b0b4016a250b48a610527b449f7503600b56b4084016fa16f35b36788a,BTM,"Butte, MT",MT,Montana,West,95.26,2614,0.06763285024154589
090de9c4a50447cd0b558d63e0c8210ba492e7684efb4586cda839ae14fd4393,LNY,"Lanai, HI",HI,Hawaii,West,91.33,1161,0.1935483870967742
b6eb5290c32538147f8fde362606776d1f3cd3ab34ea5a5b875368dea0be8103,SHV,"Shreveport, LA",LA,Louisiana,South,89.16,20966,0.20715429791777895
de05cc1b95a0a9d3935f0d2e1dcc0a346141db9d5ed47a8629e61fbe87aa0520,SIT,"Sitka, AK",AK,Alaska,West,90.22,4700,0.13186813186813187
953e00f8eaa7c9d4f6941e141fbb70163a86bbb8106c416210e78662c84cce33,VPS,"Valparaiso, FL",FL,Florida,South,87.41,37685,0.2158885736394119
b71777583b4041a882612e63a1df93a22c7c0b80aceef5dbb7073a78ac9e8bb7,IDA,"Idaho Falls, ID",ID,Idaho,West,89.84,14613,0.15346181299072092
bfec47f97df5780878ef3ad5faed4fe214567d8f5d89fa11e585626d03012d27,CHO,"Charlottesville, VA",VA,Virginia,South,91.02,21450,0.15153267784846733
fb3d662ab36f8617f09179616b5591fd7477cea56ecdb813731393aadcefbe51,SWF,"Newburgh/Poughkeepsie, NY",NY,New York,Northeast,81.77,3108,0.24489795918367346
374c7527bec9ba3fa1520269380b2d610ae48c562594eb1362b3b67e4bd08b18,JAC,"Jackson, WY",WY,Wyoming,West,86.73,20440,0.15699333967649856
591908226282600a63bdc99ba4d989db47c3a8ce3ab1056ea845fc771a5a73a2,BZN,"Bozeman, MT",MT,Montana,West,88.81,39128,0.14145096609551586
9bff7ba4973140dd52b382cdd85da7ec277450e1b8e8706463a2db5c37f76769,PSP,"Palm Springs, CA",CA,California,West,89.66,51936,0.14191338390017127
0c2f57d60033e7185fd853b993af0c34923ea6952ca244fe70427bf887a29c3a,SJT,"San Angelo, TX",TX,Texas,South,90.82,5930,0.15384615384615385
839e329c174fe0dccd84616011bcf81b03676804671f1528ad84b5cace3765b2,LFT,"Lafayette, LA",LA,Louisiana,South,89.53,17773,0.16002530044275776
d0aba02e914380930b99db0833fe59254f70918da17e5d5eadb9e3af1c0120a9,DLG,"Dillingham, AK",AK,Alaska,West,82.67,1643,0.20652173913043478
f5cfaf73c921977280767e67a5a87d4f245dfb07abb35e06de62b4c5c3eef8d0,MOT,"Minot, ND",ND,North Dakota,Midwest,89.49,9615,0.13685636856368563
92e950838af08659f7648c91084b50b83b28dd4d11eaba347d451d00a585c6df,HYA,"Hyannis, MA",MA,Massachusetts,Northeast,79.25,472,0.4107142857142857
c45bc4a7dc2c7ac5b8ecc864507a90b6cb579d280b6c1eaf5db524c5e265baf7,DAY,"Dayton, OH",OH,Ohio,Midwest,90.93,39464,0.18441874619598295
ec5db4937dfa626f850c679b378c406a1fd3fc14c3bc12b84eaad37c26437e6d,RAP,"Rapid City, SD",SD,South Dakota,Midwest,89.01,19300,0.18914728682170542
194fbb80dfc13d80109a7429fa1a60bc10ce0dacb16776f5b06b92202433d4cf,PRC,"Prescott, AZ",AZ,Arizona,West,88.94,3003,0.250936329588015
3b3394489677ff5f1b827a50349d1e59e57a4678449de1ec06f0f0fb8b8578f0,LAN,"Lansing, MI",MI,Michigan,Midwest,91.41,8558,0.12794117647058822
95f0e1a14ac79ef5d5b752c9c73dc1ad18bdd9be39014fb8b956a0c51c157067,ACY,"Atlantic City, NJ",NJ,New Jersey,Northeast,88.74,11399,0.15991902834008098
